,fecha,dia,mes,ano,linea,estacion,afluencia
1,2021-01-01,1,Enero,2021,Linea 1,Pantitlán,8639
2,2021-01-02,2,Enero,2021,Linea 1,Pantitlán,16708
3,2021-01-03,3,Enero,2021,Linea 1,Pantitlán,13348
4,2021-01-04,4,Enero,2021,Linea 1,Pantitlán,27129
5,2021-01-05,5,Enero,2021,Linea 1,Pantitlán,24221
6,2021-01-06,6,Enero,2021,Linea 1,Pantitlán,25533
7,2021-01-07,7,Enero,2021,Linea 1,Pantitlán,24049
8,2021-01-08,8,Enero,2021,Linea 1,Pantitlán,23211
9,2021-01-09,9,Enero,2021,Linea 1,Pantitlán,-
10,2021-01-10,10,Enero,2021,Linea 1,Pantitlán,-
11,2021-01-11,11,Enero,2021,Linea 1,Pantitlán,-
12,2021-01-12,12,Enero,2021,Linea 1,Pantitlán,-
13,2021-01-13,13,Enero,2021,Linea 1,Pantitlán,-
14,2021-01-14,14,Enero,2021,Linea 1,Pantitlán,-
15,2021-01-15,15,Enero,2021,Linea 1,Pantitlán,-
16,2021-01-16,16,Enero,2021,Linea 1,Pantitlán,-
17,2021-01-17,17,Enero,2021,Linea 1,Pantitlán,-
18,2021-01-18,18,Enero,2021,Linea 1,Pantitlán,-
19,2021-01-19,19,Enero,2021,Linea 1,Pantitlán,-
20,2021-01-20,20,Enero,2021,Linea 1,Pantitlán,-
21,2021-01-21,21,Enero,2021,Linea 1,Pantitlán,-
22,2021-01-22,22,Enero,2021,Linea 1,Pantitlán,-
23,2021-01-23,23,Enero,2021,Linea 1,Pantitlán,-
24,2021-01-24,24,Enero,2021,Linea 1,Pantitlán,-
25,2021-01-25,25,Enero,2021,Linea 1,Pantitlán,13065
26,2021-01-26,26,Enero,2021,Linea 1,Pantitlán,15533
27,2021-01-27,27,Enero,2021,Linea 1,Pantitlán,17921
28,2021-01-28,28,Enero,2021,Linea 1,Pantitlán,18642
29,2021-01-29,29,Enero,2021,Linea 1,Pantitlán,19799
30,2021-01-30,30,Enero,2021,Linea 1,Pantitlán,16864
31,2021-01-31,31,Enero,2021,Linea 1,Pantitlán,"8,39"
32,2021-02-01,1,Febrero,2021,Linea 1,Pantitlán,"10,86"
33,2021-02-02,2,Febrero,2021,Linea 1,Pantitlán,19699
34,2021-02-03,3,Febrero,2021,Linea 1,Pantitlán,19934
35,2021-02-04,4,Febrero,2021,Linea 1,Pantitlán,18803
36,2021-02-05,5,Febrero,2021,Linea 1,Pantitlán,23427
37,2021-02-06,6,Febrero,2021,Linea 1,Pantitlán,14374
38,2021-02-07,7,Febrero,2021,Linea 1,Pantitlán,7795
39,2021-02-08,8,Febrero,2021,Linea 1,Pantitlán,"11,7"
40,2021-02-09,9,Febrero,2021,Linea 1,Pantitlán,23367
41,2021-02-10,10,Febrero,2021,Linea 1,Pantitlán,19944
42,2021-02-11,11,Febrero,2021,Linea 1,Pantitlán,"19,51"
43,2021-02-12,12,Febrero,2021,Linea 1,Pantitlán,20965
44,2021-02-13,13,Febrero,2021,Linea 1,Pantitlán,21257
45,2021-02-14,14,Febrero,2021,Linea 1,Pantitlán,14861
46,2021-02-15,15,Febrero,2021,Linea 1,Pantitlán,23566
47,2021-02-16,16,Febrero,2021,Linea 1,Pantitlán,"24,17"
48,2021-02-17,17,Febrero,2021,Linea 1,Pantitlán,"23,28"
49,2021-02-18,18,Febrero,2021,Linea 1,Pantitlán,24422
50,2021-02-19,19,Febrero,2021,Linea 1,Pantitlán,24716
51,2021-02-20,20,Febrero,2021,Linea 1,Pantitlán,"18,14"
52,2021-02-21,21,Febrero,2021,Linea 1,Pantitlán,13247
53,2021-02-22,22,Febrero,2021,Linea 1,Pantitlán,26008
54,2021-02-23,23,Febrero,2021,Linea 1,Pantitlán,23311
