"CVE_ENT","CVE_MUN","DESC_ENT","DESC_MUN","POBTOT"
1,2,"AGUASCALIENTES","ASIENTOS",51601
1,3,"AGUASCALIENTES","CALVILLO",58340
1,9,"AGUASCALIENTES","TEPEZALA",22636
1,10,"AGUASCALIENTES","SAN FRANCISCO DE LOS ROMO",64147
1,11,"AGUASCALIENTES","EL LLANO",20819
1,5,"AGUASCALIENTES","JESUS MARIA",134795
1,6,"AGUASCALIENTES","PABELLON DE ARTEAGA",46674
1,4,"AGUASCALIENTES","COSIO",16984
1,7,"AGUASCALIENTES","RINCON DE ROMOS",57358
1,8,"AGUASCALIENTES","SAN JOSE DE GRACIA",9557
1,1,"AGUASCALIENTES","AGUASCALIENTES",942696
10,14,"DURANGO","MEZQUITAL",48482
10,5,"DURANGO","DURANGO",689040
10,38,"DURANGO","TOPIA",8930
10,39,"DURANGO","VICENTE GUERRERO",23471
10,27,"DURANGO","SAN DIMAS",17100
10,33,"DURANGO","SANTIAGO PAPASQUIARO",49473
10,20,"DURANGO","OTAEZ",4957
10,24,"DURANGO","PUEBLO NUEVO",50926
10,36,"DURANGO","TEPEHUANES",11275
10,2,"DURANGO","CANELAS",4267
10,34,"DURANGO","SUCHIL",7022
10,35,"DURANGO","TAMAZULA",26754
10,7,"DURANGO","GOMEZ PALACIO",372508
10,9,"DURANGO","GUANACEVI",10028
10,19,"DURANGO","EL ORO",10384
10,26,"DURANGO","SAN BERNARDO",2837
10,31,"DURANGO","SAN PEDRO DEL GALLO",1637
10,37,"DURANGO","TLAHUALILO",21430
10,10,"DURANGO","HIDALGO",3832
10,11,"DURANGO","INDE",4755
10,13,"DURANGO","MAPIMI",26920
10,18,"DURANGO","OCAMPO",7962
10,4,"DURANGO","CUENCAME",34955
10,6,"DURANGO","SIMON BOLIVAR",9974
10,8,"DURANGO","GUADALUPE VICTORIA",36695
10,1,"DURANGO","CANATLAN",31404
10,3,"DURANGO","CONETO DE COMONFORT",4084
10,12,"DURANGO","LERDO",163280
10,15,"DURANGO","NAZAS",12840
10,16,"DURANGO","NOMBRE DE DIOS",19124
10,23,"DURANGO","POANAS",25564
10,25,"DURANGO","RODEO",12818
10,28,"DURANGO","SAN JUAN DE GUADALUPE",5245
10,29,"DURANGO","SAN JUAN DEL RIO",12013
10,17,"DURANGO","NUEVO IDEAL",27984
10,21,"DURANGO","PANUCO DE CORONADO",12608
10,22,"DURANGO","PENON BLANCO",11172
10,30,"DURANGO","SAN LUIS DEL CORDERO",2103
10,32,"DURANGO","SANTA CLARA",6797
11,14,"GUANAJUATO","DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL",163169
11,33,"GUANAJUATO","SAN LUIS DE LA PAZ",129236
11,45,"GUANAJUATO","XICHU",10769
11,6,"GUANAJUATO","ATARJEA",5398
11,13,"GUANAJUATO","DOCTOR MORA",27161
11,34,"GUANAJUATO","SANTA CATARINA",6019
11,40,"GUANAJUATO","TIERRA BLANCA",19933
11,43,"GUANAJUATO","VICTORIA",21225
11,28,"GUANAJUATO","SALVATIERRA",93889
11,36,"GUANAJUATO","SANTIAGO MARAVATIO",6874
11,41,"GUANAJUATO","URIANGATO",61302
11,11,"GUANAJUATO","CORTAZAR",98456
11,21,"GUANAJUATO","MOROLEON",47357
11,46,"GUANAJUATO","YURIRIA",68576
11,20,"GUANAJUATO","LEON",1721439
11,7,"GUANAJUATO","CELAYA",520173
11,1,"GUANAJUATO","ABASOLO",91906
11,12,"GUANAJUATO","CUERAMARO",30783
11,16,"GUANAJUATO","HUANIMARO",21108
11,26,"GUANAJUATO","ROMITA",66183
11,42,"GUANAJUATO","VALLE DE SANTIAGO",150014
11,18,"GUANAJUATO","JARAL DEL PROGRESO",38804
11,24,"GUANAJUATO","PUEBLO NUEVO",11431
