ENTIDAD_RES,REGION
AGUASCALIENTES,Centronorte de México
BAJA CALIFORNIA,Noroeste de México
BAJA CALIFORNIA SUR,Noroeste de México
CAMPECHE,Sureste de México
COAHUILA,Noroeste de México
COLIMA,Oeste de México
CHIAPAS,Suroeste de México
CHIHUAHUA,Noroeste de México
CIUDAD DE MEXICO,Centrosur de México
DURANGO,Noroeste de México
GUANAJUATO,Centronorte de México
GUERRERO,Suroeste de México
HIDALGO,Oriente de México
JALISCO,Oeste de México
MEXICO,Centrosur de México
MICHOACAN,Oeste de México
MORELOS,Centrosur de México
NAYARIT,Oeste de México
NUEVO LEON,Noroeste de México
OAXACA,Suroeste de México
PUEBLA,Oriente de México
QUERETARO,Centronorte de México
QUINTANA ROO,Sureste de México
SAN LUIS POTOSI,Centronorte de México
SINALOA,Noroeste de México
SONORA,Noroeste de México
TABASCO,Sureste de México
TAMAULIPAS,Noroeste de México
TLAXCALA,Oriente de México
VERACRUZ,Oriente de México
YUCATAN,Sureste de México
ZACATECAS,Centronorte de México
